,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US"
43,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"ENSPIRE ENERGY, LLC",DEFENSE LOGISTICS AGENCY,2.27
44,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4998.32,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.27
45,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,40570.85,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.27
46,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,51104.42,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.27
47,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,55229.41,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.27
48,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,240518.48,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.27
49,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,307815.44,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.27
50,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,409377.02,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.27
51,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,618991.08,"WGL ENERGY SERVICES, INC.",DEFENSE LOGISTICS AGENCY,2.27
66,2016M01,NATURAL GAS LIQUID EXTRACTION,CHEMICALS,7966.64,LIQUIGAS SPA,DEPT OF THE ARMY,2.27
67,2016M01,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",2107.13,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.27
105,2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,GASES: COMPRESSED AND LIQUEFIED,4944.0,KEEN COMPRESSED GAS CO,DEPT OF THE NAVY,2.27
106,2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MODIFICATION OF EQUIPMENT- MISCELLANEOUS,32500.0,NATIONS GAS TECHNOLOGIES INC.,BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION,2.27
107,2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,0.0,"DIDIM CONSTRUCTION CO., LTD.",DEPT OF THE ARMY,2.27
108,2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,8148.77,"DIDIM CONSTRUCTION CO., LTD.",DEPT OF THE ARMY,2.27
109,2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,20753.36,"DIDIM CONSTRUCTION CO., LTD.",DEPT OF THE ARMY,2.27
143,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,27088.71,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,1.96
144,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,60904.84,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,1.96
145,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,74423.38,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,1.96
146,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,143486.72,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,1.96
147,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,153038.98,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,1.96
148,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,194902.43,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,1.96
149,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,297660.0,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,1.96
