,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US",mm,yyyy
0,2016M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,10000.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY,2.97,09,2016
2,2017M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,542491.46,"POND CONSTRUCTORS, INC",DEFENSE LOGISTICS AGENCY,3.12,05,2017
13,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,6872.28,LAUREL FUEL OIL & HEATING CO INC,PUBLIC BUILDINGS SERVICE,1.92,09,2020
16,2017M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,6960.0,SLATER OIL COMPANY,INDIAN HEALTH SERVICE,3.26,01,2017
19,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,33593.68,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.95,10,2016
24,2019M04,NATURAL GAS EXTRACTION,R&D- ENERGY: GAS (BASIC RESEARCH),96364.0,"POTEN & PARTNERS, INC.",MARITIME ADMINISTRATION,2.65,04,2019
28,2021M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.07,02,2021
29,2017M07,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",11035.49,ROGERS PETROLEUM INC.,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.96,07,2017
30,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,147773.57,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.25,10,2020
32,2018M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,197447.11,WASHINGTON GAS ENERGY SERVICES INC,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,3.28,10,2018
