,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US",mm,yyyy
0,2016M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,10000,"AMERIGAS PROPANE, L.P.",OTHER,2.97,9,2016
2,2017M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,542491.46,"POND CONSTRUCTORS, INC",OTHER,3.12,5,2017
13,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,6872.28,LAUREL FUEL OIL & HEATING CO INC,OTHER,1.92,9,2020
16,2017M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,6960,SLATER OIL COMPANY,OTHER,3.26,1,2017
19,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,33593.68,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.95,10,2016
24,2019M04,NATURAL GAS EXTRACTION,R&D- ENERGY: GAS (BASIC RESEARCH),96364,"POTEN & PARTNERS, INC.",OTHER,2.65,4,2019
28,2021M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.07,2,2021
29,2017M07,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",11035.49,ROGERS PETROLEUM INC.,OTHER,2.96,7,2017
30,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,147773.57,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.25,10,2020
32,2018M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,197447.11,WASHINGTON GAS ENERGY SERVICES INC,OTHER,3.28,10,2018
39,2020M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.54,12,2020
40,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,ENVIRONMENTAL SYSTEMS PROTECTION- MULTIPLE POLLUTANT SUPPORT,186319.12,REDD ENGINEERING & CONSTRUCTION INC,OTHER,2.94,6,2017
50,2019M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.08,1,2019
61,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,95099.03,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.79,7,2016
76,2016M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INFORMATION TECHNOLOGY SOFTWARE,133441.84,SCHLUMBERGER TECHNOLOGY CORPORATION,OTHER,1.92,5,2016
80,2016M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,8507.54,"AMERESCO SELECT, INC.",DEPT OF THE ARMY,3.58,12,2016
81,2021M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,12750,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",3.23,6,2021
91,2020M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,122281.47,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.79,3,2020
92,2019M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,471278.21,"CENTERPOINT ENERGY SERVICES, INC.",OTHER,2.24,12,2019
95,2016M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,228954.18,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",1.92,5,2016
97,2016M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,50733.21,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,1.92,5,2016
104,2021M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- SHIP AND MARINE EQUIPMENT,39512,"PROFESSIONAL TANK CLEANING, INC.",OTHER,4.05,8,2021
105,2016M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,6276.94,LIQUIGAS SPA,DEPT OF THE ARMY,2.97,9,2016
115,2018M12,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",2906.44,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,3.98,12,2018
117,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- SOIL,34563.98,"WILLBORN BROS, CO.",OTHER,1.92,9,2020
122,2019M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.36,7,2019
126,2019M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,392,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.94,3,2019
138,2017M09,NATURAL GAS LIQUID EXTRACTION,FUEL OILS,9914,D & R PROPANE INC,OTHER,2.96,9,2017
143,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,4,2019
144,2019M07,NATURAL GAS EXTRACTION,MARINE HARDWARE AND HULL ITEMS,21000,"REIMEL MACHINE, INC.",OTHER,2.36,7,2019
148,2020M01,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,17397.42,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.03,1,2020
152,2021M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,12089,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",5.11,9,2021
154,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,980,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,4,2019
187,2019M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.63,5,2019
194,2018M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,800000,"WGL ENERGY SERVICES, INC.",OTHER,2.7,3,2018
202,2021M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,700000,,OTHER,2.56,3,2021
225,2019M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.4,6,2019
229,2020M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAPS, ATLASES, CHARTS, AND GLOBES",25000,"NUKA RESEARCH AND PLANNING GROUP, LLC",OTHER,1.74,7,2020
235,2019M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.63,5,2019
237,2020M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.3,8,2020
246,2019M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.72,2,2019
249,2017M02,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",11146,ROGERS PETROLEUM INC.,OTHER,2.82,2,2017
253,2021M01,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,359177.9,"SYMMETRY ENERGY SOLUTIONS, LLC",DEPT OF THE ARMY,2.67,1,2021
259,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.98,12,2018
271,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,38507.04,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.79,8,2016
275,2020M11,NATURAL GAS EXTRACTION,UTILITIES- GAS,29338.18,"INTERCONN RESOURCES, LLC",OTHER,2.59,11,2020
279,2017M12,NATURAL GAS LIQUID EXTRACTION,MISCELLANEOUS OFFICE MACHINES,2282.82,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.76,12,2017
280,2021M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,468609.14,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.56,3,2021
282,2020M06,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,40505.02,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.61,6,2020
283,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,533775,GAS SOUTH LLC,DEPT OF THE AIR FORCE,2.94,6,2017
297,2019M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.4,6,2019
299,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,368285.66,"CENTERPOINT ENERGY SERVICES, INC.",OTHER,2.86,10,2017
303,2016M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,50000,"AMERIGAS PROPANE, L.P.",OTHER,1.9,4,2016
304,2020M01,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,32882.4,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.03,1,2020
307,2021M09,NATURAL GAS EXTRACTION,FUEL OILS,27830,"GREEN LANTERN, LLC",OTHER,5.11,9,2021
311,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.98,12,2018
318,2019M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,270472.59,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.65,4,2019
