naics_description,product_or_service_code_description,award_base_action_date,total_obligated_amount
ALL OTHER METAL ORE MINING,ADDITIVE METAL MATERIALS,2017M06,214900.0
ALL OTHER METAL ORE MINING,ADDITIVE METAL MATERIALS,2018M09,0.0
ALL OTHER METAL ORE MINING,ADDITIVE METAL MATERIALS,2018M10,536205.0
ALL OTHER METAL ORE MINING,ADDITIVE METAL MATERIALS,2018M12,536205.0
ALL OTHER METAL ORE MINING,ADDITIVE METAL MATERIALS,2019M03,536205.0
ALL OTHER METAL ORE MINING,ADDITIVE METAL MATERIALS,2019M06,536205.0
ALL OTHER METAL ORE MINING,ADDITIVE METAL MATERIALS,2019M09,492372.0
ALL OTHER METAL ORE MINING,EQUIPMENT AND MATERIALS TESTING- CONSTRUCTION AND BUILDING MATERIALS,2017M02,8807.0
ALL OTHER METAL ORE MINING,IRON AND STEEL PRIMARY AND SEMIFINISHED PRODUCTS,2019M09,4057657.5
ALL OTHER METAL ORE MINING,KITCHEN EQUIPMENT AND APPLIANCES,2017M09,3956.0
ALL OTHER METAL ORE MINING,MARINE HARDWARE AND HULL ITEMS,2017M05,3231.0
ALL OTHER METAL ORE MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M09,109951.14
ALL OTHER METAL ORE MINING,"MINERALS, NATURAL AND SYNTHETIC",2017M09,144665.0
ALL OTHER METAL ORE MINING,"MINERALS, NATURAL AND SYNTHETIC",2017M09,743026.05
ALL OTHER METAL ORE MINING,"MINERALS, NATURAL AND SYNTHETIC",2018M04,704452.5
ALL OTHER METAL ORE MINING,"MINERALS, NATURAL AND SYNTHETIC",2020M09,437556.0
ALL OTHER METAL ORE MINING,MISCELLANEOUS CHEMICAL SPECIALTIES,2017M12,0.0
ALL OTHER METAL ORE MINING,MISCELLANEOUS CHEMICAL SPECIALTIES,2017M12,4385667.0
ALL OTHER METAL ORE MINING,NONFERROUS BASE METAL REFINERY AND INTERMEDIATE FORMS,2018M09,20683.52
ALL OTHER METAL ORE MINING,OFFICE SUPPLIES,2020M08,10646.28
ALL OTHER METAL ORE MINING,ORES,2017M05,4688.0
ALL OTHER METAL ORE MINING,ORES,2019M06,5437755.0
ALL OTHER METAL ORE MINING,"QUALITY CONTROL- CONSTRUCTION, MINING, EXCAVATING, AND HIGHWAY MAINTENANCE EQUIPMENT",2016M03,17300.0
ALL OTHER METAL ORE MINING,SUPPORT- PROFESSIONAL: OTHER,2018M07,3499.0
ALL OTHER NONMETALLIC MINERAL MINING,ABRASIVE MATERIALS,2016M12,16420.0
ALL OTHER NONMETALLIC MINERAL MINING,BOLTS,2016M03,881.1
ALL OTHER NONMETALLIC MINERAL MINING,"BUILDING COMPONENTS, PREFABRICATED",2016M08,36249.13
ALL OTHER NONMETALLIC MINERAL MINING,CHEMICALS,2017M05,11984.0
ALL OTHER NONMETALLIC MINERAL MINING,"DISKS AND STONES, ABRASIVE",2016M09,2100.0
ALL OTHER NONMETALLIC MINERAL MINING,"DISKS AND STONES, ABRASIVE",2017M06,4573.22
ALL OTHER NONMETALLIC MINERAL MINING,ELECTRIC ARC WELDING EQUIPMENT,2016M02,5516.29
ALL OTHER NONMETALLIC MINERAL MINING,ELECTRICAL HARDWARE AND SUPPLIES,2016M07,119.8
ALL OTHER NONMETALLIC MINERAL MINING,FLOOR COVERINGS,2016M08,1141.12
ALL OTHER NONMETALLIC MINERAL MINING,FUEL OILS,2019M08,12568.5
ALL OTHER NONMETALLIC MINERAL MINING,FUEL OILS,2019M08,17034.61
ALL OTHER NONMETALLIC MINERAL MINING,KITCHEN HAND TOOLS AND UTENSILS,2017M09,5593.14
ALL OTHER NONMETALLIC MINERAL MINING,MACHINE TOOL ACCESSORIES,2016M07,25580.0
ALL OTHER NONMETALLIC MINERAL MINING,MACHINE TOOL ACCESSORIES,2017M12,26180.0
ALL OTHER NONMETALLIC MINERAL MINING,MACHINE TOOL ACCESSORIES,2020M04,26130.0
ALL OTHER NONMETALLIC MINERAL MINING,MACHINE TOOL ACCESSORIES,2021M03,27580.0
ALL OTHER NONMETALLIC MINERAL MINING,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",2017M06,4800.0
ALL OTHER NONMETALLIC MINERAL MINING,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",2017M07,12061.69
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M01,3127.5
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M01,3968.67
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M02,0.0
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M03,111526.22
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M05,185163.67
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M07,0.0
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,10766.91
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M09,0.0
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M09,93771.43
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M12,706.15
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M01,9840.87
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M02,71596.75
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M03,9623.87
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M03,63365.29
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M06,27977.4
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M06,33675.27
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M06,68490.07
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M06,212947.56
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M08,4222.42
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M08,55808.32
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M09,99039.78
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M11,6992.76
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M03,6078.12
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M04,17837.25
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M06,97909.58
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M08,23782.0
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M09,19934.75
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M09,129600.0
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M07,74520.0
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M02,0.0
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M02,22111.5
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M04,30985.67
ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M09,287566.2
ALL OTHER NONMETALLIC MINERAL MINING,"MINERALS, NATURAL AND SYNTHETIC",2016M07,20076.0
ALL OTHER NONMETALLIC MINERAL MINING,"MINERALS, NATURAL AND SYNTHETIC",2017M08,7948.2
