total_obligated_amount,Month,product_or_service_code_description,naics_description,recipient_name,funding_sub_agency_name
10000.0,2016M09,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY
1384.98,2016M02,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"BRAATEN SAND & GRAVEL, INC",FEDERAL PRISON SYSTEM
542491.46,2017M05,MAINTENANCE OF FUEL SUPPLY FACILITIES,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"POND CONSTRUCTORS, INC",DEFENSE LOGISTICS AGENCY
21764.63,2016M03,OTHER QC/TEST/INSPECT- MISCELLANEOUS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
256800.0,2020M12,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,FOREIGN AWARDEES (UNDISCLOSED),DEPT OF THE ARMY
5690.52,2019M02,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
60604.51,2017M06,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,"BRIMHALL SAND, ROCK & BUILDING MATERIALS",BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION
1819.63,2021M05,MISCELLANEOUS CONSTRUCTION EQUIPMENT,CONSTRUCTION SAND AND GRAVEL MINING,OHIO GENERAL CONTRACTING LLC,DEPT OF THE AIR FORCE
561.7,2018M01,"BEARINGS, ANTIFRICTION, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,JAMAICA BEARINGS CO INC,DEFENSE LOGISTICS AGENCY
599.6,2017M04,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
109.44,2016M12,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,GEORGIA WATER SPORTS LLC,DEFENSE LOGISTICS AGENCY
739.59,2017M11,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,KLX AEROSPACE SOLUTIONS DEFENSE LLC,DEFENSE LOGISTICS AGENCY
6320.86,2018M06,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,ACHEAMPONG METAL WORKS,"STATE, DEPARTMENT OF"
6872.28,2020M09,FUEL OILS,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,LAUREL FUEL OIL & HEATING CO INC,PUBLIC BUILDINGS SERVICE
250334.15,2021M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,SOCIEDAD ESPANOLA DE MONTAJES INDUSTRIALES SA,DEPT OF THE AIR FORCE
499.68,2019M02,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
6960.0,2017M01,FUEL OILS,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SLATER OIL COMPANY,INDIAN HEALTH SERVICE
7520.0,2017M02,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,KAMATICS CORPORATION,DEFENSE LOGISTICS AGENCY
5290.67,2017M01,"BUILDING COMPONENTS, PREFABRICATED",CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
33593.68,2016M10,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
3735.8,2016M11,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
154776.76,2017M05,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,KLA CONSTRUCTION SERVICE LLC,DEPT OF THE ARMY
594.0,2018M11,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,AMERI-CUT SOLUTIONS INC.,DEFENSE LOGISTICS AGENCY
22350.0,2017M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,R.L. BAKER TRUCKING LLC,DEPT OF THE ARMY
96364.0,2019M04,R&D- ENERGY: GAS (BASIC RESEARCH),NATURAL GAS EXTRACTION,"POTEN & PARTNERS, INC.",MARITIME ADMINISTRATION
20000.0,2018M09,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,KERNEN CONSTRUCTION,NATIONAL PARK SERVICE
89550.0,2016M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,AMERICAN CLASSIC CONSTRUCTION INC.,BUREAU OF RECLAMATION
24506.33,2018M03,ELECTRICAL HARDWARE AND SUPPLIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
98.0,2021M02,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
11035.49,2017M07,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",NATURAL GAS LIQUID EXTRACTION,ROGERS PETROLEUM INC.,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
147773.57,2020M10,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
563.5,2020M05,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,ULTRA INDUSTRIES INC.,DEFENSE LOGISTICS AGENCY
197447.11,2018M10,UTILITIES- GAS,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,WASHINGTON GAS ENERGY SERVICES INC,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS
52572.0,2021M01,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
127568.0,2019M11,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),"PALMERTON & PARRISH, INC.",DEPT OF THE ARMY
1404.9,2021M06,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,ALLIED TOOLS INC.,DEFENSE LOGISTICS AGENCY
4907.25,2016M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
1562.56,2020M01,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
0.0,2016M08,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,REID PRODUCTS INC.,DEFENSE LOGISTICS AGENCY
196.0,2020M12,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
186319.12,2017M06,ENVIRONMENTAL SYSTEMS PROTECTION- MULTIPLE POLLUTANT SUPPORT,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,REDD ENGINEERING & CONSTRUCTION INC,BUREAU OF LAND MANAGEMENT
193563.78,2021M05,MISCELLANEOUS CONSTRUCTION MATERIALS,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,RAWAN ALFARAH COMPANY,DEPT OF THE ARMY
