Month,Energy,Non_Energy,Agriculture,Agriculture_Beverages,Agriculture_Food,Agriculture_Oils_Meals,Agriculture_Grains,Agriculture_Other_Food,Raw_Materials,Raw_Materials_Timber,Raw_Materials_Other,Fertilizers,Metals_Minerals,Metals_Minerals_Base_Metals,Precious_Metals
2016M01,40.86,74.03,82.3,86.05,83.11,77.99,82.77,90.16,78.43,92.15,63.43,90.32,55.21,61.37,84.73
2016M02,42.84,74.6,82.53,84.82,83.82,79.84,82.61,90.14,78.26,92.24,62.96,80.3,57.68,63.63,92.31
2016M03,48.74,76.99,84.41,88.42,85.85,81.71,82.9,93.96,78.89,92.12,64.42,82.0,61.19,66.46,95.59
2016M04,52.28,78.83,86.89,89.81,88.46,86.97,84.31,94.19,81.6,93.21,68.9,81.36,62.0,66.7,96.3
2016M05,57.65,79.95,89.62,90.92,92.47,92.4,85.9,98.5,82.05,94.45,68.5,81.09,59.98,65.14,98.12
2016M06,60.23,81.64,92.57,93.75,96.83,96.66,88.83,104.31,81.62,93.57,68.55,72.54,60.26,65.98,99.32
2016M07,57.28,81.37,90.35,95.43,93.32,92.04,82.48,104.8,80.55,88.56,71.78,76.65,63.49,69.13,105.9
2016M08,58.42,80.54,89.15,94.59,91.55,91.85,77.7,103.69,80.53,89.0,71.28,72.69,63.78,68.9,105.81
2016M09,59.09,79.9,88.61,95.14,90.54,90.34,75.43,104.46,80.61,89.01,71.42,73.05,62.83,68.22,104.58
2016M10,64.39,79.52,87.39,95.07,89.35,88.37,75.53,103.16,78.72,84.58,72.32,72.97,64.13,69.62,98.99
2016M11,60.93,82.23,87.88,94.16,89.92,88.91,75.06,104.71,79.71,84.05,74.96,74.51,71.53,76.5,96.96
2016M12,69.59,82.74,87.66,87.36,90.29,92.19,74.7,101.9,81.41,82.84,79.86,75.03,73.54,77.88,90.82
2017M01,70.23,84.3,89.47,88.61,92.13,93.11,77.89,103.74,83.43,82.24,84.73,76.79,74.54,79.06,93.58
2017M02,70.1,85.24,89.28,85.58,91.74,90.8,78.11,105.3,85.17,83.42,87.09,76.75,77.94,81.8,97.29
2017M03,65.94,84.01,87.68,84.31,90.41,87.75,77.4,105.68,82.77,82.68,82.86,76.45,77.34,81.35,96.74
2017M04,67.44,82.31,86.81,82.8,89.42,86.0,78.8,103.54,82.5,84.69,80.1,73.74,74.04,80.06,99.37
2017M05,64.87,82.42,88.15,82.41,91.82,87.21,83.42,105.48,82.16,85.77,78.21,68.51,72.24,79.08,96.77
2017M06,60.61,81.64,87.11,82.03,91.52,85.31,86.6,104.15,79.0,85.37,72.03,70.26,71.71,79.22,97.85
2017M07,62.91,83.01,87.5,83.4,91.68,86.76,85.43,103.8,79.44,86.02,72.24,68.92,75.39,82.12,95.61
2017M08,66.41,83.76,85.55,83.62,88.5,85.93,78.49,100.94,79.37,86.41,71.67,70.75,81.56,88.39,99.4
2017M09,70.74,84.59,86.1,82.56,89.21,87.64,79.61,99.98,80.34,87.97,72.0,74.08,82.68,90.5,101.81
2017M10,73.28,84.44,85.3,82.63,88.6,87.79,79.08,98.29,78.64,87.01,69.48,78.09,83.39,92.95,99.06
2017M11,78.95,84.81,85.58,81.78,89.19,87.22,80.33,99.8,78.74,87.12,69.58,82.68,83.46,92.62,99.28
2017M12,80.83,84.23,84.85,77.58,88.2,85.32,81.4,98.15,80.4,88.02,72.07,74.1,84.11,92.15,97.35
2018M01,87.41,87.1,87.03,78.19,90.64,87.01,86.09,99.53,82.76,90.37,74.44,75.45,88.57,96.99,102.67
2018M02,82.11,88.26,88.67,79.2,92.92,90.91,86.86,101.04,83.16,91.9,73.61,77.7,88.61,96.86,102.11
2018M03,82.81,87.86,90.04,82.33,94.0,92.74,89.11,100.07,84.36,92.22,75.76,78.28,84.47,92.9,101.56
2018M04,88.4,89.55,91.66,84.32,96.09,94.13,93.65,100.89,84.63,92.42,76.12,78.59,86.45,96.06,102.3
2018M05,94.6,89.73,91.85,85.46,96.79,92.24,94.41,104.91,83.09,89.01,76.62,77.4,86.79,96.43,100.13
2018M06,93.67,87.93,88.94,80.98,93.38,86.49,90.48,105.06,82.19,88.01,75.83,78.03,86.98,96.83,98.74
2018M07,93.03,84.14,86.35,79.64,89.97,83.15,86.67,101.94,80.96,87.12,74.22,82.64,79.77,88.03,95.08
2018M08,91.99,82.71,84.84,75.32,88.71,81.61,90.4,96.51,80.28,85.74,74.31,84.57,78.12,85.58,92.05
2018M09,98.72,81.15,82.65,73.73,85.62,79.27,85.8,93.82,79.95,86.45,72.84,86.7,77.44,84.54,91.17
2018M10,100.22,82.28,83.39,77.45,86.37,79.29,87.37,94.79,79.15,86.09,71.56,88.15,79.35,86.1,92.6
