total_obligated_amount,award_base_action_date,period_of_performance_start_date,period_of_performance_current_end_date,period_of_performance_potential_end_date,funding_sub_agency_name,recipient_name,recipient_city_name,recipient_county_name,recipient_state_code,product_or_service_code,product_or_service_code_description,naics_code,naics_description
10000,9/26/2016,9/26/2016,10/31/2016 0:00,10/31/2016 0:00,DEPT OF THE NAVY,"AMERIGAS PROPANE, L.P.",KING OF PRUSSIA,MONTGOMERY,PA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
1384.98,2/18/2016,2/18/2016,4/5/2016 0:00,4/5/2016 0:00,FEDERAL PRISON SYSTEM,"BRAATEN SAND & GRAVEL, INC",BYRON,OLMSTED,MN,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
542491.46,5/12/2017,5/12/2017,7/11/2017 0:00,8/10/2017 0:00,DEFENSE LOGISTICS AGENCY,"POND CONSTRUCTORS, INC",NORCROSS,GWINNETT,GA,Z1NA,MAINTENANCE OF FUEL SUPPLY FACILITIES,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
21764.63,3/4/2016,3/4/2016,3/17/2016 0:00,3/17/2016 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,H999,OTHER QC/TEST/INSPECT- MISCELLANEOUS,212321,CONSTRUCTION SAND AND GRAVEL MINING
256800,12/5/2020,12/5/2020,12/27/2020 0:00,12/27/2020 0:00,DEPT OF THE ARMY,FOREIGN AWARDEES (UNDISCLOSED),WASHINGTON,DISTRICT OF COLUMBIA,DC,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
11202.24,9/3/2015,9/3/2015,12/31/2018 0:00,12/31/2018 0:00,FOREST SERVICE,"GREER INDUSTRIES, INC.",RIVERTON,PENDLETON,WV,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
5690.52,2/15/2019,2/15/2019,3/18/2019 0:00,3/18/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
0,8/9/2013,8/6/2013,,,DEPT OF THE ARMY,"PARK CITY STONE, LLC",CAVE CITY,HART,KY,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
60604.51,6/28/2017,6/28/2017,7/31/2017 0:00,7/31/2017 0:00,BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION,"BRIMHALL SAND, ROCK & BUILDING MATERIALS",TAYLOR,NAVAJO,AZ,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
217856.72,9/1/2010,9/1/2010,,,BUREAU OF LAND MANAGEMENT,"SAFETY-KLEEN SYSTEMS, INC.",PLANO,COLLIN,TX,F108,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
1819.63,5/3/2021,5/3/2021,5/5/2021 0:00,5/5/2021 0:00,DEPT OF THE AIR FORCE,OHIO GENERAL CONTRACTING LLC,ABU DHABI,,,3895,MISCELLANEOUS CONSTRUCTION EQUIPMENT,212321,CONSTRUCTION SAND AND GRAVEL MINING
78734,12/10/2015,12/10/2015,4/5/2016 0:00,4/5/2016 0:00,FEDERAL HIGHWAY ADMINISTRATION,"HAZ-TECH DRILLING, INC.",MERIDIAN,ADA,ID,F015,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,213115,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS)
561.7,1/23/2018,1/23/2018,8/13/2018 0:00,8/13/2018 0:00,DEFENSE LOGISTICS AGENCY,JAMAICA BEARINGS CO INC,NEW HYDE PARK,NASSAU,NY,3110,"BEARINGS, ANTIFRICTION, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
